,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
109,109,0.9566623328999566,2025-01-02 04:20:08.744239,2025-01-02 04:20:22.941345,0 days 00:00:14.197106,5,35,50.0,50.0,15.0,50.0,,,,,,2,2.0,6.0,2.0,6.0,,,,,,COMPLETE
110,110,0.9406862005997554,2025-01-02 04:20:22.941913,2025-01-02 04:20:33.542758,0 days 00:00:10.600845,5,35,50.0,50.0,15.0,50.0,,,,,,2,2.0,6.0,2.0,6.0,,,,,,COMPLETE
111,111,0.9466613327999467,2025-01-02 04:20:33.543255,2025-01-02 04:20:46.756348,0 days 00:00:13.213093,5,30,55.0,60.0,30.0,30.0,,,,,,2,2.0,6.0,2.0,5.0,,,,,,COMPLETE
112,112,0.9600716506504761,2025-01-02 04:20:46.757001,2025-01-02 04:20:55.887127,0 days 00:00:09.130126,4,65,45.0,55.0,15.0,,,,,,,2,2.0,6.0,3.0,,,,,,,COMPLETE
113,113,0.9446963744528005,2025-01-02 04:20:55.887575,2025-01-02 04:21:11.619579,0 days 00:00:15.732004,6,65,40.0,55.0,15.0,50.0,75.0,,,,,2,2.0,6.0,3.0,6.0,4.0,,,,,COMPLETE
114,114,0.9427356598033596,2025-01-02 04:21:11.620200,2025-01-02 04:21:20.881507,0 days 00:00:09.261307,4,65,30.0,40.0,10.0,,,,,,,2,2.0,6.0,2.0,,,,,,,COMPLETE
115,115,0.9473640129984702,2025-01-02 04:21:20.882086,2025-01-02 04:21:33.088765,0 days 00:00:12.206679,5,75,45.0,50.0,35.0,20.0,,,,,,2,2.0,6.0,2.0,5.0,,,,,,COMPLETE
116,116,0.9423534338358459,2025-01-02 04:21:33.089252,2025-01-02 04:21:46.584473,0 days 00:00:13.495221,6,60,50.0,45.0,25.0,40.0,25.0,,,,,2,2.0,6.0,3.0,6.0,3.0,,,,,COMPLETE
117,117,0.9430537682537906,2025-01-02 04:21:46.585019,2025-01-02 04:21:57.416618,0 days 00:00:10.831599,4,75,55.0,55.0,15.0,,,,,,,2,2.0,5.0,3.0,,,,,,,COMPLETE
118,118,0.9425448694832035,2025-01-02 04:21:57.417083,2025-01-02 04:22:10.163641,0 days 00:00:12.746558,5,80,60.0,65.0,40.0,60.0,,,,,,3,2.0,6.0,2.0,5.0,,,,,,COMPLETE
119,119,0.9504185517889537,2025-01-02 04:22:10.164229,2025-01-02 04:22:12.291002,0 days 00:00:02.126773,1,60,,,,,,,,,,2,,,,,,,,,,COMPLETE
120,120,0.9526141803668365,2025-01-02 04:22:12.291470,2025-01-02 04:22:22.534947,0 days 00:00:10.243477,4,95,35.0,30.0,5.0,,,,,,,2,2.0,3.0,3.0,,,,,,,COMPLETE
121,121,0.9499970833252315,2025-01-02 04:22:22.535624,2025-01-02 04:22:31.613951,0 days 00:00:09.078327,3,40,40.0,70.0,,,,,,,,2,2.0,5.0,,,,,,,,COMPLETE
122,122,0.9533359814888375,2025-01-02 04:22:31.614387,2025-01-02 04:22:39.303627,0 days 00:00:07.689240,3,55,45.0,60.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
