,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
115,115,0.6570731707317073,2025-01-08 12:30:04.240565,2025-01-08 12:30:07.718165,0 days 00:00:03.477600,3,3,1,15,35.0,,,,,,35.0,,,,,,,,COMPLETE
116,116,0.6916979557780559,2025-01-08 12:30:07.718789,2025-01-08 12:30:09.822988,0 days 00:00:02.104199,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
117,117,0.5445134575569358,2025-01-08 12:30:09.824253,2025-01-08 12:30:11.879188,0 days 00:00:02.054935,1,3,1,25,,,,,,,,,,,,,,,COMPLETE
118,118,0.5358139534883721,2025-01-08 12:30:11.880423,2025-01-08 12:30:15.075835,0 days 00:00:03.195412,3,3,1,20,5.0,,,,,,30.0,,,,,,,,COMPLETE
119,119,0.5280126849894292,2025-01-08 12:30:15.076910,2025-01-08 12:30:17.704095,0 days 00:00:02.627185,2,3,1,15,20.0,,,,,,,,,,,,,,COMPLETE
120,120,0.45032679738562087,2025-01-08 12:30:17.705445,2025-01-08 12:30:19.847400,0 days 00:00:02.141955,1,5,1,20,,,,,,,,,,,,,,,COMPLETE
121,121,0.6916979557780559,2025-01-08 12:30:19.848608,2025-01-08 12:30:21.945242,0 days 00:00:02.096634,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
122,122,0.6916979557780559,2025-01-08 12:30:21.955016,2025-01-08 12:30:24.050728,0 days 00:00:02.095712,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
123,123,0.7009090909090909,2025-01-08 12:30:24.060168,2025-01-08 12:30:26.741970,0 days 00:00:02.681802,2,3,1,20,25.0,,,,,,,,,,,,,,COMPLETE
124,124,0.6862745098039216,2025-01-08 12:30:26.743235,2025-01-08 12:30:29.754620,0 days 00:00:03.011385,2,3,1,25,25.0,,,,,,,,,,,,,,COMPLETE
125,125,0.5280126849894292,2025-01-08 12:30:29.755959,2025-01-08 12:30:32.284097,0 days 00:00:02.528138,2,3,1,15,20.0,,,,,,,,,,,,,,COMPLETE
126,126,0.5964912280701754,2025-01-08 12:30:32.285360,2025-01-08 12:30:35.787709,0 days 00:00:03.502349,3,3,1,20,30.0,,,,,,40.0,,,,,,,,COMPLETE
127,127,0.0,2025-01-08 12:30:35.789115,2025-01-08 12:30:41.959742,0 days 00:00:06.170627,9,3,1,20,15.0,,,,,,20.0,50.0,10.0,45.0,15.0,40.0,50.0,,COMPLETE
128,128,0.5828658847526772,2025-01-08 12:30:41.961241,2025-01-08 12:30:44.465824,0 days 00:00:02.504583,2,3,1,15,25.0,,,,,,,,,,,,,,COMPLETE
129,129,0.6916979557780559,2025-01-08 12:30:44.466863,2025-01-08 12:30:46.663798,0 days 00:00:02.196935,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
130,130,0.6953703703703704,2025-01-08 12:30:46.665196,2025-01-08 12:30:49.428849,0 days 00:00:02.763653,2,3,1,20,20.0,,,,,,,,,,,,,,COMPLETE
131,131,0.6953703703703704,2025-01-08 12:30:49.430044,2025-01-08 12:30:52.195185,0 days 00:00:02.765141,2,3,1,20,20.0,,,,,,,,,,,,,,COMPLETE
132,132,0.7140124342419896,2025-01-08 12:30:52.196973,2025-01-08 12:30:55.597146,0 days 00:00:03.400173,3,3,1,20,20.0,,,,,,30.0,,,,,,,,COMPLETE
133,133,0.7140124342419896,2025-01-08 12:30:55.598425,2025-01-08 12:30:58.898879,0 days 00:00:03.300454,3,3,1,20,20.0,,,,,,30.0,,,,,,,,COMPLETE
