,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
114,114,0.8556878377181327,2025-01-08 01:02:19.207618,2025-01-08 01:02:28.658199,0 days 00:00:09.450581,1,9,1,20,,,,,,,,,,,,,,,COMPLETE
115,115,0.8498133086034418,2025-01-08 01:02:28.658950,2025-01-08 01:02:42.872694,0 days 00:00:14.213744,2,9,1,25,25.0,,,,,,,,,,,,,,COMPLETE
116,116,0.8991898223953239,2025-01-08 01:02:42.873396,2025-01-08 01:02:53.159041,0 days 00:00:10.285645,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
117,117,0.6654318234921972,2025-01-08 01:02:53.159752,2025-01-08 01:03:18.671407,0 days 00:00:25.511655,2,9,3,30,35.0,,,,,,,,,,,,,,COMPLETE
118,118,0.8556878377181327,2025-01-08 01:03:18.672314,2025-01-08 01:03:28.121062,0 days 00:00:09.448748,1,9,1,20,,,,,,,,,,,,,,,COMPLETE
119,119,0.8888254406196069,2025-01-08 01:03:28.121900,2025-01-08 01:03:43.168659,0 days 00:00:15.046759,2,9,1,25,40.0,,,,,,,,,,,,,,COMPLETE
120,120,0.8847796583032213,2025-01-08 01:03:43.169383,2025-01-08 01:03:54.083767,0 days 00:00:10.914384,1,9,1,30,,,,,,,,,,,,,,,COMPLETE
121,121,0.8991898223953239,2025-01-08 01:03:54.084589,2025-01-08 01:04:04.257368,0 days 00:00:10.172779,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
122,122,0.8991898223953239,2025-01-08 01:04:04.258081,2025-01-08 01:04:14.428605,0 days 00:00:10.170524,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
123,123,0.8991898223953239,2025-01-08 01:04:14.429381,2025-01-08 01:04:24.596145,0 days 00:00:10.166764,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
124,124,0.8530312444337778,2025-01-08 01:04:24.596930,2025-01-08 01:04:37.714701,0 days 00:00:13.117771,2,9,1,25,5.0,,,,,,,,,,,,,,COMPLETE
125,125,0.8991898223953239,2025-01-08 01:04:37.715565,2025-01-08 01:04:48.000743,0 days 00:00:10.285178,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
126,126,0.8651257277344234,2025-01-08 01:04:48.001477,2025-01-08 01:05:00.718325,0 days 00:00:12.716848,2,9,1,20,20.0,,,,,,,,,,,,,,COMPLETE
127,127,0.8991898223953239,2025-01-08 01:05:00.719120,2025-01-08 01:05:10.902245,0 days 00:00:10.183125,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
128,128,0.8847796583032213,2025-01-08 01:05:10.902960,2025-01-08 01:05:21.823581,0 days 00:00:10.920621,1,9,1,30,,,,,,,,,,,,,,,COMPLETE
129,129,0.0,2025-01-08 01:05:21.824440,2025-01-08 01:06:12.129912,0 days 00:00:50.305472,11,9,1,25,10.0,30.0,,,,,20.0,50.0,45.0,10.0,15.0,35.0,10.0,15.0,COMPLETE
130,130,0.8745085073212262,2025-01-08 01:06:12.131300,2025-01-08 01:06:25.470368,0 days 00:00:13.339068,2,1,2,20,15.0,,,,,,,,,,,,,,COMPLETE
131,131,0.8991898223953239,2025-01-08 01:06:25.471332,2025-01-08 01:06:35.634651,0 days 00:00:10.163319,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
132,132,0.8991898223953239,2025-01-08 01:06:35.635589,2025-01-08 01:06:45.923761,0 days 00:00:10.288172,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
133,133,0.8898342049999135,2025-01-08 01:06:45.924599,2025-01-08 01:07:00.288320,0 days 00:00:14.363721,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
134,134,0.8991898223953239,2025-01-08 01:07:00.289316,2025-01-08 01:07:10.467409,0 days 00:00:10.178093,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
135,135,0.8880892581596147,2025-01-08 01:07:10.468207,2025-01-08 01:07:26.131688,0 days 00:00:15.663481,2,9,1,25,50.0,,,,,,,,,,,,,,COMPLETE
136,136,0.8847796583032213,2025-01-08 01:07:26.132319,2025-01-08 01:07:37.157133,0 days 00:00:11.024814,1,9,1,30,,,,,,,,,,,,,,,COMPLETE
