,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
75,75,0.3023255813953488,2024-12-29 14:24:58.769574,2024-12-29 14:25:33.513019,0 days 00:00:34.743445,12,14,1.0,8.0,7.0,,,,,,,,,11.0,2.0,3.0,11.0,10.0,4.0,1.0,6.0,195,165.0,5.0,130.0,,,,,,,,,90.0,35.0,115.0,125.0,155.0,35.0,60.0,150.0,COMPLETE
76,76,0.7643097643097643,2024-12-29 14:25:33.513585,2024-12-29 14:25:55.995808,0 days 00:00:22.482223,3,12,2.0,,,,,,,,,,,14.0,,,,,,,,140,200.0,,,,,,,,,,,110.0,,,,,,,,COMPLETE
77,77,0.4137587238285145,2024-12-29 14:25:55.996410,2024-12-29 14:26:07.222004,0 days 00:00:11.225594,4,11,4.0,,,,,,,,,,,12.0,4.0,,,,,,,165,175.0,,,,,,,,,,,10.0,125.0,,,,,,,COMPLETE
78,78,0.87042842215256,2024-12-29 14:26:07.222395,2024-12-29 14:26:11.208170,0 days 00:00:03.985775,2,9,1.0,,,,,,,,,,,,,,,,,,,90,160.0,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.7607142857142857,2024-12-29 14:26:11.208498,2024-12-29 14:26:17.560126,0 days 00:00:06.351628,1,9,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,COMPLETE
80,80,0.5307017543859649,2024-12-29 14:26:17.560474,2024-12-29 14:26:30.830472,0 days 00:00:13.269998,5,5,1.0,,,,,,,,,,,13.0,1.0,10.0,,,,,,65,160.0,,,,,,,,,,,30.0,75.0,180.0,,,,,,COMPLETE
81,81,0.8618037135278515,2024-12-29 14:26:30.830995,2024-12-29 14:26:34.883156,0 days 00:00:04.052161,2,8,2.0,,,,,,,,,,,,,,,,,,,105,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.883856626840789,2024-12-29 14:26:34.883473,2024-12-29 14:26:48.129720,0 days 00:00:13.246247,3,9,1.0,,,,,,,,,,,15.0,,,,,,,,90,160.0,,,,,,,,,,,75.0,,,,,,,,COMPLETE
83,83,0.8130296610169492,2024-12-29 14:26:48.130195,2024-12-29 14:27:00.303308,0 days 00:00:12.173113,3,9,1.0,,,,,,,,,,,15.0,,,,,,,,90,140.0,,,,,,,,,,,75.0,,,,,,,,COMPLETE
84,84,0.14707730986800754,2024-12-29 14:27:00.303697,2024-12-29 14:27:38.671406,0 days 00:00:38.367709,7,13,2.0,,,,,,,,,,,14.0,9.0,7.0,7.0,13.0,,,,85,160.0,,,,,,,,,,,60.0,150.0,20.0,55.0,115.0,,,,COMPLETE
85,85,0.6711853720050441,2024-12-29 14:27:38.672097,2024-12-29 14:27:52.862046,0 days 00:00:14.189949,4,8,3.0,,,,,,,,,,,13.0,2.0,,,,,,,65,150.0,,,,,,,,,,,95.0,105.0,,,,,,,COMPLETE
86,86,0.8604465709728868,2024-12-29 14:27:52.862465,2024-12-29 14:27:57.441219,0 days 00:00:04.578754,2,12,1.0,,,,,,,,,,,,,,,,,,,100,90.0,,,,,,,,,,,,,,,,,,,COMPLETE
87,87,0.8429276315789473,2024-12-29 14:27:57.441545,2024-12-29 14:28:05.832463,0 days 00:00:08.390918,3,14,1.0,,,,,,,,,,,15.0,,,,,,,,95,120.0,,,,,,,,,,,35.0,,,,,,,,COMPLETE
