,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
98,98,0.6963835155592935,2025-01-04 03:11:10.905038,2025-01-04 03:11:21.757364,0 days 00:00:10.852326,3,15,75.0,20.0,,,,,,,,2,2.0,5.0,,,,,,,,COMPLETE
99,99,0.76,2025-01-04 03:11:21.757730,2025-01-04 03:11:43.586800,0 days 00:00:21.829070,4,10,60.0,25.0,70.0,,,,,,,2,5.0,6.0,6.0,,,,,,,COMPLETE
100,100,0.7564935064935066,2025-01-04 03:11:43.587422,2025-01-04 03:12:02.181696,0 days 00:00:18.594274,4,10,55.0,25.0,70.0,,,,,,,2,2.0,6.0,6.0,,,,,,,COMPLETE
101,101,0.7181964573268921,2025-01-04 03:12:02.182183,2025-01-04 03:12:24.037390,0 days 00:00:21.855207,4,15,60.0,30.0,75.0,,,,,,,2,5.0,6.0,6.0,,,,,,,COMPLETE
102,102,0.7083333333333333,2025-01-04 03:12:24.037841,2025-01-04 03:12:40.513849,0 days 00:00:16.476008,3,10,65.0,35.0,,,,,,,,2,5.0,6.0,,,,,,,,COMPLETE
103,103,0.696969696969697,2025-01-04 03:12:40.514255,2025-01-04 03:13:07.976447,0 days 00:00:27.462192,6,15,50.0,15.0,65.0,70.0,40.0,,,,,2,5.0,5.0,5.0,6.0,2.0,,,,,COMPLETE
104,104,0.7181964573268921,2025-01-04 03:13:07.977108,2025-01-04 03:13:28.448055,0 days 00:00:20.470947,4,30,60.0,20.0,50.0,,,,,,,2,5.0,6.0,5.0,,,,,,,COMPLETE
105,105,0.625,2025-01-04 03:13:28.448598,2025-01-04 03:13:45.315716,0 days 00:00:16.867118,3,20,70.0,30.0,,,,,,,,2,6.0,6.0,,,,,,,,COMPLETE
106,106,0.6375105130361649,2025-01-04 03:13:45.316122,2025-01-04 03:14:02.879065,0 days 00:00:17.562943,5,60,45.0,25.0,80.0,50.0,,,,,,2,2.0,5.0,3.0,4.0,,,,,,COMPLETE
107,107,0.7777777777777778,2025-01-04 03:14:02.879564,2025-01-04 03:14:15.040002,0 days 00:00:12.160438,3,10,65.0,20.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
108,108,0.7844611528822054,2025-01-04 03:14:15.040380,2025-01-04 03:14:20.705400,0 days 00:00:05.665020,2,5,80.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
109,109,0.7496012759170654,2025-01-04 03:14:20.705720,2025-01-04 03:14:26.358608,0 days 00:00:05.652888,2,5,80.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
110,110,0.7463175122749591,2025-01-04 03:14:26.358921,2025-01-04 03:14:32.413383,0 days 00:00:06.054462,2,5,75.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
111,111,0.7343205574912892,2025-01-04 03:14:32.413841,2025-01-04 03:14:44.626663,0 days 00:00:12.212822,3,10,90.0,15.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
112,112,0.7947454844006567,2025-01-04 03:14:44.627030,2025-01-04 03:15:04.739115,0 days 00:00:20.112085,4,10,55.0,20.0,60.0,,,,,,,2,2.0,6.0,6.0,,,,,,,COMPLETE
113,113,0.7868248772504092,2025-01-04 03:15:04.739640,2025-01-04 03:15:10.423976,0 days 00:00:05.684336,2,5,80.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
