,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
67,67,0.7584541062801933,2025-01-05 13:34:47.247420,2025-01-05 13:34:50.567259,0 days 00:00:03.319839,2,6,7.0,,,,,,,,,,,,,,,,,,,10,40.0,,,,,,,,,,,,,,,,,,,COMPLETE
68,68,0.41000000000000003,2025-01-05 13:34:50.567617,2025-01-05 13:34:57.060613,0 days 00:00:06.492996,3,15,6.0,,,,,,,,,,,8.0,,,,,,,,25,50.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
69,69,0.35625,2025-01-05 13:34:57.060990,2025-01-05 13:35:00.973132,0 days 00:00:03.912142,11,10,5.0,6.0,,,,,,,,,,1.0,11.0,13.0,11.0,3.0,6.0,5.0,11.0,5,15.0,60.0,,,,,,,,,,30.0,50.0,50.0,25.0,40.0,60.0,5.0,25.0,COMPLETE
70,70,0.03571428571428571,2025-01-05 13:35:00.973697,2025-01-05 13:35:11.818588,0 days 00:00:10.844891,20,7,8.0,15.0,1.0,1.0,11.0,7.0,1.0,1.0,1.0,1.0,1.0,12.0,5.0,10.0,15.0,7.0,3.0,9.0,1.0,30,30.0,20.0,60.0,20.0,40.0,35.0,30.0,10.0,60.0,60.0,55.0,10.0,5.0,10.0,45.0,5.0,30.0,50.0,60.0,COMPLETE
71,71,0.8571428571428571,2025-01-05 13:35:11.819329,2025-01-05 13:35:15.494995,0 days 00:00:03.675666,2,8,4.0,,,,,,,,,,,,,,,,,,,15,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.717948717948718,2025-01-05 13:35:15.495357,2025-01-05 13:35:19.285229,0 days 00:00:03.789872,1,8,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.13248847926267282,2025-01-05 13:35:19.285556,2025-01-05 13:35:35.362176,0 days 00:00:16.076620,5,8,3.0,,,,,,,,,,,7.0,14.0,9.0,,,,,,60,55.0,,,,,,,,,,,20.0,25.0,30.0,,,,,,COMPLETE
74,74,0.5492753623188406,2025-01-05 13:35:35.362607,2025-01-05 13:35:41.185573,0 days 00:00:05.822966,3,10,4.0,,,,,,,,,,,10.0,,,,,,,,20,45.0,,,,,,,,,,,50.0,,,,,,,,COMPLETE
75,75,0.7584541062801933,2025-01-05 13:35:41.185943,2025-01-05 13:35:47.178851,0 days 00:00:05.992908,1,8,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,COMPLETE
76,76,0.8222222222222222,2025-01-05 13:35:47.179376,2025-01-05 13:35:51.983959,0 days 00:00:04.804583,2,11,6.0,,,,,,,,,,,,,,,,,,,20,40.0,,,,,,,,,,,,,,,,,,,COMPLETE
77,77,0.806063122923588,2025-01-05 13:35:51.984323,2025-01-05 13:35:57.028469,0 days 00:00:05.044146,4,9,2.0,,,,,,,,,,,3.0,2.0,,,,,,,10,55.0,,,,,,,,,,,15.0,15.0,,,,,,,COMPLETE
78,78,0.5016025641025641,2025-01-05 13:35:57.028856,2025-01-05 13:36:02.738896,0 days 00:00:05.710040,3,12,5.0,,,,,,,,,,,11.0,,,,,,,,15,45.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
79,79,0.7658536585365854,2025-01-05 13:36:02.739306,2025-01-05 13:36:08.379505,0 days 00:00:05.640199,1,10,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
80,80,0.8081632653061225,2025-01-05 13:36:08.379846,2025-01-05 13:36:12.830836,0 days 00:00:04.450990,2,9,6.0,,,,,,,,,,,,,,,,,,,25,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
81,81,0.8366666666666667,2025-01-05 13:36:12.831195,2025-01-05 13:36:16.927498,0 days 00:00:04.096303,2,9,4.0,,,,,,,,,,,,,,,,,,,15,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.8273322422258592,2025-01-05 13:36:16.927847,2025-01-05 13:36:20.601447,0 days 00:00:03.673600,2,8,4.0,,,,,,,,,,,,,,,,,,,15,40.0,,,,,,,,,,,,,,,,,,,COMPLETE
83,83,0.6818181818181819,2025-01-05 13:36:20.601793,2025-01-05 13:36:25.955012,0 days 00:00:05.353219,3,10,3.0,,,,,,,,,,,5.0,,,,,,,,20,45.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
84,84,0.7707390648567118,2025-01-05 13:36:25.955394,2025-01-05 13:36:29.204588,0 days 00:00:03.249194,1,9,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,COMPLETE
85,85,0.44508196721311477,2025-01-05 13:36:29.204906,2025-01-05 13:36:38.479377,0 days 00:00:09.274471,15,11,5.0,11.0,12.0,5.0,5.0,1.0,,,,,,13.0,7.0,6.0,1.0,10.0,15.0,1.0,13.0,15,50.0,40.0,45.0,45.0,25.0,40.0,,,,,,60.0,30.0,25.0,30.0,15.0,15.0,40.0,45.0,COMPLETE
86,86,0.8074074074074074,2025-01-05 13:36:38.479991,2025-01-05 13:36:42.757784,0 days 00:00:04.277793,2,7,5.0,,,,,,,,,,,,,,,,,,,30,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
87,87,0.7829787234042553,2025-01-05 13:36:42.758140,2025-01-05 13:36:47.249572,0 days 00:00:04.491432,3,8,4.0,,,,,,,,,,,1.0,,,,,,,,20,40.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
