,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
91,91,0.8792640321900955,2025-01-03 00:06:20.996010,2025-01-03 00:07:42.017498,0 days 00:01:21.021488,2,200,195.0,,,,,,,,,,,,,,,,,,,COMPLETE
92,92,0.8875959339622173,2025-01-03 00:07:42.017984,2025-01-03 00:09:54.148719,0 days 00:02:12.130735,4,185,160.0,,,,,,,,,,,200.0,165.0,,,,,,,COMPLETE
93,93,0.8747069791525016,2025-01-03 00:09:54.149242,2025-01-03 00:11:45.728846,0 days 00:01:51.579604,4,195,160.0,,,,,,,,,,,75.0,170.0,,,,,,,COMPLETE
94,94,0.869526768132449,2025-01-03 00:11:45.729364,2025-01-03 00:12:29.095011,0 days 00:00:43.365647,1,175,,,,,,,,,,,,,,,,,,,,COMPLETE
95,95,0.8827556020212407,2025-01-03 00:12:29.095503,2025-01-03 00:13:45.018411,0 days 00:01:15.922908,2,200,175.0,,,,,,,,,,,,,,,,,,,COMPLETE
96,96,0.8808227429882932,2025-01-03 00:13:45.018911,2025-01-03 00:15:32.709782,0 days 00:01:47.690871,3,185,175.0,,,,,,,,,,,200.0,,,,,,,,COMPLETE
97,97,0.884308165569534,2025-01-03 00:15:32.710291,2025-01-03 00:16:40.400595,0 days 00:01:07.690304,2,135,185.0,,,,,,,,,,,,,,,,,,,COMPLETE
98,98,0.877303326188775,2025-01-03 00:16:40.401086,2025-01-03 00:17:46.551427,0 days 00:01:06.150341,2,140,180.0,,,,,,,,,,,,,,,,,,,COMPLETE
99,99,0.882935662861901,2025-01-03 00:17:46.551918,2025-01-03 00:18:52.888730,0 days 00:01:06.336812,2,130,185.0,,,,,,,,,,,,,,,,,,,COMPLETE
100,100,0.8739474355702985,2025-01-03 00:18:52.889234,2025-01-03 00:19:30.286818,0 days 00:00:37.397584,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
101,101,0.8759695921611115,2025-01-03 00:19:30.287263,2025-01-03 00:20:37.656240,0 days 00:01:07.368977,2,135,185.0,,,,,,,,,,,,,,,,,,,COMPLETE
102,102,0.8864105621161829,2025-01-03 00:20:37.656737,2025-01-03 00:21:59.981124,0 days 00:01:22.324387,3,125,190.0,,,,,,,,,,,100.0,,,,,,,,COMPLETE
103,103,0.8768896193303461,2025-01-03 00:21:59.981645,2025-01-03 00:23:08.714972,0 days 00:01:08.733327,2,135,195.0,,,,,,,,,,,,,,,,,,,COMPLETE
104,104,0.8778237795766921,2025-01-03 00:23:08.715499,2025-01-03 00:23:45.328503,0 days 00:00:36.613004,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
105,105,0.8753763097347131,2025-01-03 00:23:45.328921,2025-01-03 00:25:23.156004,0 days 00:01:37.827083,4,115,170.0,,,,,,,,,,,100.0,125.0,,,,,,,COMPLETE
