,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
114,114,0.9584716462060192,2025-01-03 21:11:51.522729,2025-01-03 21:11:56.079285,0 days 00:00:04.556556,2,115,105.0,,,,,,,,,,,,,,,,,,,COMPLETE
115,115,0.5799476684643299,2025-01-03 21:11:56.079628,2025-01-03 21:13:05.320839,0 days 00:01:09.241211,19,125,125.0,200.0,100.0,5.0,55.0,145.0,195.0,15.0,90.0,200.0,,180.0,155.0,15.0,20.0,145.0,155.0,175.0,5.0,COMPLETE
116,116,0.9604759075347311,2025-01-03 21:13:05.321653,2025-01-03 21:13:11.032054,0 days 00:00:05.710401,3,110,85.0,,,,,,,,,,,155.0,,,,,,,,COMPLETE
117,117,0.9583332175922711,2025-01-03 21:13:11.032513,2025-01-03 21:13:14.601029,0 days 00:00:03.568516,1,115,,,,,,,,,,,,,,,,,,,,COMPLETE
118,118,0.9566666666666667,2025-01-03 21:13:14.601393,2025-01-03 21:13:19.158552,0 days 00:00:04.557159,2,120,100.0,,,,,,,,,,,,,,,,,,,COMPLETE
119,119,0.4831002160122765,2025-01-03 21:13:19.158969,2025-01-03 21:14:28.763625,0 days 00:01:09.604656,16,110,115.0,95.0,200.0,90.0,140.0,65.0,120.0,,,,,170.0,200.0,160.0,155.0,180.0,35.0,100.0,175.0,COMPLETE
120,120,0.9541172084119379,2025-01-03 21:14:28.764388,2025-01-03 21:14:34.672289,0 days 00:00:05.907901,3,120,65.0,,,,,,,,,,,200.0,,,,,,,,COMPLETE
121,121,0.9651650165016502,2025-01-03 21:14:34.672781,2025-01-03 21:14:39.056506,0 days 00:00:04.383725,1,185,,,,,,,,,,,,,,,,,,,,COMPLETE
122,122,0.9636730025597734,2025-01-03 21:14:39.056862,2025-01-03 21:14:43.223410,0 days 00:00:04.166548,1,160,,,,,,,,,,,,,,,,,,,,COMPLETE
123,123,0.9610583945614093,2025-01-03 21:14:43.223795,2025-01-03 21:14:47.376202,0 days 00:00:04.152407,1,175,,,,,,,,,,,,,,,,,,,,COMPLETE
124,124,0.9683492087302183,2025-01-03 21:14:47.376535,2025-01-03 21:14:51.701205,0 days 00:00:04.324670,1,185,,,,,,,,,,,,,,,,,,,,COMPLETE
125,125,0.952856212405655,2025-01-03 21:14:51.701571,2025-01-03 21:14:56.069873,0 days 00:00:04.368302,1,185,,,,,,,,,,,,,,,,,,,,COMPLETE
126,126,0.9616721157558772,2025-01-03 21:14:56.070209,2025-01-03 21:15:00.370808,0 days 00:00:04.300599,1,200,,,,,,,,,,,,,,,,,,,,COMPLETE
127,127,0.9602040676008305,2025-01-03 21:15:00.371194,2025-01-03 21:15:03.568028,0 days 00:00:03.196834,1,95,,,,,,,,,,,,,,,,,,,,COMPLETE
